row_id,app_id,reg_num,released,vehicle_type,model_name,recording_date,fuel_type
2650,957069,26412904698,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,3/22/2021 0:00,petrol
2651,374331,26410779340,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,12/4/2015 0:00,petrol
2652,751401,26410779340,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,12/4/2015 0:00,petrol
2653,928133,26410779340,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,12/4/2015 0:00,petrol
2654,225813,612674028,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/27/2019 0:00,petrol
2655,245532,612674028,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/27/2019 0:00,petrol
2656,332765,21110111315,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,8/4/2018 0:00,petrol
2657,920677,812085316,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,8/14/2021 0:00,petrol
2658,288439,26411987627,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,4/17/2019 0:00,petrol
2659,339195,26410333660,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,12/23/2019 0:00,petrol
2660,830699,813212597,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/8/2021 0:00,petrol
2661,251742,211930406,2002,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/26/2020 0:00,petrol
2662,272792,211930406,2002,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/26/2020 0:00,petrol
2663,437790,211930406,2002,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/26/2020 0:00,petrol
2664,789221,26411905125,2002,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,7/12/2019 0:00,petrol
2665,798794,26411905125,2002,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,7/12/2019 0:00,petrol
2666,835690,26411905125,2002,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,7/12/2019 0:00,petrol
2667,933032,26411905125,2002,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,7/12/2019 0:00,petrol
2668,862923,21112457076,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/9/2019 0:00,petrol
2669,802222,812826866,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,3/6/2020 0:00,petrol
2670,960539,612780382,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,12/1/2021 0:00,petrol
2671,426558,912795498,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,1/15/2020 0:00,petrol
2672,658626,26411909876,2007,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/13/2018 0:00,petrol
2673,779041,26411909876,2007,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/13/2018 0:00,petrol
2674,389656,912468181,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/12/2019 0:00,petrol
2675,397987,912468181,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/12/2019 0:00,petrol
2676,412489,912468181,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/12/2019 0:00,petrol
2677,417202,912468181,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/12/2019 0:00,petrol
2678,653206,912468181,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/12/2019 0:00,petrol
2679,737349,912468181,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/12/2019 0:00,petrol
2680,839623,912468181,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/12/2019 0:00,petrol
2681,907438,912468181,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/12/2019 0:00,petrol
2682,933325,912468181,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/12/2019 0:00,petrol
2683,786815,21110387161,1999,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,1/22/2015 0:00,petrol
2684,789799,21110387161,1999,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,1/22/2015 0:00,petrol
2685,798249,21110387161,1999,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,1/22/2015 0:00,petrol
2686,806980,21110387161,1999,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,1/22/2015 0:00,petrol
2687,839446,21110387161,1999,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,1/22/2015 0:00,petrol
2688,331482,601090126,1997,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/16/2020 0:00,petrol
2689,325052,26412639190,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/14/2019 0:00,petrol
2690,965155,26412639190,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/14/2019 0:00,petrol
2691,374416,26412761051,2013,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,12/27/2019 0:00,petrol
2692,716753,906100092,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/3/2020 0:00,petrol
2693,242072,264666794,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,8/20/2019 0:00,petrol
2694,336740,5506528,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/7/2020 0:00,petrol
2695,342534,5506528,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/7/2020 0:00,petrol
2696,349446,5506528,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/7/2020 0:00,petrol
2697,418395,5506528,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/7/2020 0:00,petrol
2698,436437,5506528,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/7/2020 0:00,petrol
2699,310954,21110017228,2007,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/19/2017 0:00,petrol
2700,220578,26410508607,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,2/21/2019 0:00,petrol
2701,322138,26410413245,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,1/27/2018 0:00,petrol
2702,369808,26410413245,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,1/27/2018 0:00,petrol
2703,345836,26411795913,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,8/27/2018 0:00,petrol
2704,413794,26411795913,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,8/27/2018 0:00,petrol
2705,378571,21112398449,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,8/17/2019 0:00,petrol
2706,532026,21111568335,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,2/26/2018 0:00,petrol
2707,324353,26411994651,2007,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,1/10/2019 0:00,petrol
2708,881923,26411266389,2007,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,8/21/2021 0:00,petrol
2709,932138,26411266389,2007,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,8/21/2021 0:00,petrol
2710,369978,21112567528,2008,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,10/19/2019 0:00,petrol
2711,414797,21112567528,2008,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,10/19/2019 0:00,petrol
2712,456930,21112567528,2008,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,10/19/2019 0:00,petrol
2713,655916,21112567528,2008,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,10/19/2019 0:00,petrol
2714,845457,21112567528,2008,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,10/19/2019 0:00,petrol
2715,922176,21111757308,2008,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/3/2020 0:00,petrol
2716,241083,21112088013,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,4/2/2019 0:00,petrol
2717,239083,26412658052,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/21/2019 0:00,petrol
2718,260140,26412658052,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/21/2019 0:00,petrol
2719,264945,26412658052,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/21/2019 0:00,petrol
2720,333371,26412658052,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/21/2019 0:00,petrol
2721,335760,26412658052,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/21/2019 0:00,petrol
2722,570443,26412658052,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/21/2019 0:00,petrol
2723,233157,26410926108,2011,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,1/13/2020 0:00,petrol
2724,650263,26413119434,2007,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,3/11/2021 0:00,petrol
2725,414800,21111777549,2008,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,8/13/2018 0:00,petrol
2726,565508,21111777549,2008,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,8/13/2018 0:00,petrol
2727,525989,26412530795,2010,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,10/5/2019 0:00,petrol
2728,278482,21111809367,2009,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/4/2018 0:00,petrol
2729,672405,1011739776,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,2/8/2021 0:00,petrol
2730,767016,26412308842,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,7/9/2019 0:00,petrol
2731,881923,21111815222,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/28/2020 0:00,petrol
2732,932138,21111815222,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/28/2020 0:00,petrol
2733,242035,21111773704,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,2/14/2020 0:00,petrol
2734,528186,21111773704,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,2/14/2020 0:00,petrol
2735,259163,21111997571,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,3/7/2019 0:00,petrol
2736,318462,1012295106,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,2/17/2021 0:00,petrol
2737,425862,1012295106,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,2/17/2021 0:00,petrol
2738,517545,1012295106,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,2/17/2021 0:00,petrol
2739,602984,1012295106,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,2/17/2021 0:00,petrol
2740,669818,1012295106,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,2/17/2021 0:00,petrol
2741,233399,26412768705,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,1/15/2021 0:00,petrol
2742,653155,21111752066,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,8/10/2019 0:00,petrol
2743,776912,26411328748,2010,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/2/2021 0:00,petrol
2744,275529,106070105,2007,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,6/11/2019 0:00,petrol
2745,908369,106070105,2007,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,6/11/2019 0:00,petrol
2746,586162,26410393646,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,2/9/2021 0:00,petrol
2747,591954,26410393646,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,2/9/2021 0:00,petrol
2748,630749,26410393646,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,2/9/2021 0:00,petrol
2749,812229,707100025,2010,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,10/23/2018 0:00,petrol
2750,593250,26410712785,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,3/18/2021 0:00,petrol
2751,687817,26410712785,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,3/18/2021 0:00,petrol
2752,450968,26410568159,2007,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,9/25/2019 0:00,petrol
2753,537299,912014962,2012,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,7/19/2021 0:00,petrol
2754,273027,26411922824,2013,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/20/2018 0:00,petrol
2755,337181,26411922824,2013,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MERCEDES-BENZ,11/20/2018 0:00,petrol
